headword_english,pos_raw,definition_raw,source_image,source_text,decision,notes
"Booth","n.","ntléana, motlotloa-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Booty","n.","khapo, thépa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bor","n.","(a case) lekese, le-tlole.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Border","n.","(limit) moeli.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bore","v.","and n. (to perforate) ho phunya, bora; boro; (to annoy) ho khathatsa, hloliéa; mothé ea kha-thatsang.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Borrow","v.","ho alima, Kalima. Bosom, 1. sefuba.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Both","adj.","bobeli; both of us went to prison, va ba te-, ronokong bobeli ba réna.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bother","v.","ho khathatsa, ka-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bottle","n.","botlolo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bottom","n.","botlase ba ntho.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bottomless","adj.","e boliba bo sé nang ho lekangoa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bough","n.","lekala la sefate.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Boulder","n.","morallana.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bounce","v.","(to leap) ho tléla; (to boast) ho ithorisa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bound","v.","ho tlola, tlolaka.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Boundary","n.","moeli.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Bouster","vw.","moithorisi, molo-bé, lehoulohoalo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Bow","v.","ho kéba, kebisa; to bow the body, ho inama, koboteéla,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Bow","n.","(for arrows) seqha.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Bowels","n.","plur mala, likaha-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Bowl","n.","morifi.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Box","v.","(to fight with the fists) ho loana ka litebele, ka lifeisi; (to strike) ho oa-hléla, vabéla.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Boy","n.","moshanyana, moshe-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Bracelet","n.","mofiri, mofitSana,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Braces","n.","plur. kruspaue.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
"Brackish","adj.","e lebu, e le-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_right.png","page_028_right.txt","",""
